Feature,CPF,Disting,Distinct,Feat_Length,BR_Label,WB_Label,Feat_Source,Toddler_Access,SD_Toddler_Access_Ratings,N_Toddler_Access_Ratings
a_baby,5,ND,0.2,6,taxonomic,subordinate,LLAMA,6.11,1.24,37
a_baby_bird,1,D,1,11,taxonomic,synonym,MCSM,3.43,2.08,37
a_baby_cow,1,D,1,10,taxonomic,synonym,MCSM,4.53,1.96,38
a_baby_deer,1,D,1,11,taxonomic,synonym,MCSM,3.53,1.91,34
a_baby_fish,1,D,1,11,taxonomic,synonym,MCSM,4.28,1.79,39
a_baby_is_a_kitten,1,D,1,18,taxonomic,subordinate,MCSM,4.72,1.75,39
a_baby_is_a_lamb,1,D,1,16,taxonomic,subordinate,MCSM,3.85,1.71,39
a_baby_is_a_piglet,1,D,1,18,taxonomic,subordinate,MCSM,4.14,1.79,36
a_bag,2,D,0.5,5,taxonomic,coordinate,MCSM,5.21,1.28,39
a_barrier,2,D,0.5,9,taxonomic,superordinate,MCSM,3.95,2.12,40
a_basin,1,D,1,7,taxonomic,synonym,MCSM,2.24,1.59,37
a_beach,1,D,1,7,taxonomic,synonym,LLAMA,4.83,1.74,40
a_bean,1,D,1,6,taxonomic,superordinate,LLAMA,2.69,1.64,35
a_bed,1,D,1,5,taxonomic,superordinate,LLAMA,5.66,1.89,41
a_belly,1,D,1,7,taxonomic,synonym,LLAMA,5.55,1.72,33
a_berry,3,ND,0.333,7,taxonomic,superordinate,MCSM,5.11,1.69,36
a_bike,2,D,0.5,6,taxonomic,coordinate,MCSM,5.05,1.39,38
a_bikini,1,D,1,8,taxonomic,subordinate,MCSM,3.84,2,67
a_bird,40,ND,0.025,6,taxonomic,superordinate,MCSM,5.92,1.42,39
a_birth_stone,1,D,1,13,taxonomic,superordinate,MCSM,1.64,1.17,36
a_board,1,D,1,7,taxonomic,superordinate,MCSM,3.95,1.79,39
a_boat,4,ND,0.25,6,taxonomic,superordinate,MCSM,5.34,1.78,35
a_body_part,16,ND,0.062,11,taxonomic,superordinate,LLAMA,5.3,1.82,37
a_bolts,1,D,1,7,taxonomic,coordinate,MCSM,2.95,1.6,40
a_bone,2,D,0.5,6,taxonomic,superordinate,LLAMA,3.39,1.65,38
a_boy,2,D,0.5,5,taxonomic,subordinate,LLAMA,6,1.37,37
a_boy,2,D,0.5,5,taxonomic,superordinate,LLAMA,6,1.37,37
a_branch,2,D,0.5,8,taxonomic,synonym,MCSM,4.86,1.44,35
a_bread,3,ND,0.333,7,taxonomic,superordinate,LLAMA,4.39,2.08,79
a_breeze,1,D,1,8,taxonomic,coordinate,LLAMA,4.58,1.73,38
a_bug,3,ND,0.333,5,taxonomic,superordinate,MCSM,5.39,1.9,36
a_building,10,ND,0.1,10,taxonomic,superordinate,MCSM,4.65,1.61,34
a_butt,1,D,1,6,taxonomic,synonym,LLAMA,4.46,2.05,35
a_cab,1,D,1,5,taxonomic,synonym,MCSM,3.13,1.89,75
a_candy,2,D,0.5,7,taxonomic,superordinate,LLAMA,6.22,0.9,36
a_candy_bar,1,D,1,11,taxonomic,superordinate,LLAMA,5.28,1.78,39
a_cape,1,D,1,6,taxonomic,coordinate,MCSM,4.03,2.04,33
a_car,5,ND,0.2,5,taxonomic,coordinate,MCSM,4.67,2.03,39
a_caregiver,2,D,0.5,11,taxonomic,coordinate,LLAMA,4.89,1.94,38
a_carnivore,13,ND,0.077,11,taxonomic,superordinate,MCSM,2.24,1.72,38
a_cat,6,ND,0.167,5,taxonomic,coordinate,MCSM,5.55,1.55,38
a_celebration,1,D,1,13,taxonomic,superordinate,LLAMA,4.14,1.86,37
a_cereal,1,D,1,8,taxonomic,superordinate,LLAMA,5.62,1.46,37
a_chair,3,ND,0.333,7,taxonomic,superordinate,MCSM,4.83,1.96,40
a_challenge,1,D,1,11,encyclopaedic,systemic_property,LLAMA,3,1.64,39
a_chicken,2,D,0.5,9,taxonomic,coordinate,MCSM,5.27,1.87,37
a_child,3,ND,0.333,7,taxonomic,superordinate,LLAMA,6.13,1.26,39
a_Chinese_language,1,D,1,18,taxonomic,superordinate,MCSM,2.03,1.65,35
a_church,1,D,1,8,taxonomic,coordinate,MCSM,3.74,1.87,35
a_city_area,1,D,1,11,taxonomic,superordinate,LLAMA,2.55,1.45,38
a_clay,1,D,1,6,taxonomic,coordinate,LLAMA,4.58,1.87,36
a_close_relationship,1,D,1,20,taxonomic,coordinate,LLAMA,4.14,1.99,36
a_coat,1,D,1,6,taxonomic,coordinate,MCSM,3.62,2.21,71
a_coin,1,D,1,6,taxonomic,superordinate,LLAMA,4.84,1.68,37
a_colour,2,D,0.5,8,taxonomic,superordinate,MCSM,6.24,1.16,37
a_companion,1,D,1,11,taxonomic,superordinate,LLAMA,3.76,2.02,37
a_coniferous,2,D,0.5,12,taxonomic,superordinate,MCSM,2.11,1.75,36
a_container,7,ND,0.143,11,taxonomic,superordinate,MCSM,3.62,1.72,37
a_cow,1,D,1,5,taxonomic,coordinate,MCSM,5.24,1.77,41
a_creature,1,D,1,10,taxonomic,superordinate,LLAMA,4.22,1.99,40
a_crustacean,2,D,0.5,12,taxonomic,superordinate,MCSM,2.03,1.59,38
a_crystalline_structure,1,D,1,23,visual-form_and_surface,internal_surface_property,LLAMA,1.24,0.59,38
a_cube,1,D,1,6,visual-form_and_surface,external_surface_property,LLAMA,3.46,1.97,70
a_cup,1,D,1,5,taxonomic,coordinate,MCSM,5.64,1.79,36
a_cure,1,D,1,6,taxonomic,coordinate,LLAMA,2.32,1.87,37
a_curtains,1,D,1,10,taxonomic,synonym,MCSM,4.36,1.86,39
a_cutlery,1,D,1,9,taxonomic,superordinate,MCSM,2.13,1.56,38
a_dairy_product,5,ND,0.2,15,taxonomic,superordinate,MCSM,2.92,1.78,36
a_daughter,1,D,1,10,taxonomic,coordinate,LLAMA,4.92,1.81,38
a_deer,1,D,1,6,taxonomic,superordinate,MCSM,3.8,1.79,40
a_desk,1,D,1,6,taxonomic,synonym,MCSM,3.75,2.18,32
a_dessert,8,ND,0.125,9,taxonomic,superordinate,MCSM,5.26,1.9,38
a_digit,1,D,1,7,taxonomic,synonym,LLAMA,2.62,2.02,40
a_dish,2,D,0.5,6,taxonomic,superordinate,MCSM,5.19,1.58,36
a_dog,3,ND,0.333,5,taxonomic,coordinate,MCSM,5.63,1.51,38
a_dress,1,D,1,7,taxonomic,coordinate,MCSM,4.26,2.11,38
a_dresser,1,D,1,9,taxonomic,synonym,MCSM,2.9,1.97,41
a_drink,9,ND,0.111,7,taxonomic,superordinate,MCSM,5.83,1.46,36
