Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Num_Parts,NPF,Rank_NPF
back_(body_part),a_body_part,superordinate,c,h,taxonomic,12,42,8.571428571,65
back_(body_part),bends,action,s,a,function,7,42,5,3.5
back_(body_part),has_a_spine,internal_component,NA,NA,visual-form_and_surface,19,42,13.57142857,77
back_(body_part),has_bones,internal_component,e,ci,visual-form_and_surface,9,42,6.428571429,27.5
back_(body_part),has_muscles,internal_component,e,ci,visual-form_and_surface,16,42,11.42857143,74
back_(body_part),has_skin,external_component,e,ce,visual-form_and_surface,11,42,7.857142857,46
back_(body_part),inbeh_-_aches,entity_behavior,e,b,encyclopaedic,9,42,6.428571429,27.5
back_(body_part),is_hairy,external_surface_property,e,se,tactile,7,42,5,3.5
back_(body_part),is_massaged,action,NA,NA,visual-motion,9,42,6.428571429,27.5
back_(body_part),is_strong,systemic_property,e,sys,encyclopaedic,8,42,5.714285714,14
back_(body_part),used_for_support,function,s,f,function,8,42,5.714285714,14
bin_(waste),a_container,superordinate,c,h,taxonomic,8,42,5.714285714,146.5
bin_(waste),collected_by_garbage_man,action,s,a,encyclopaedic,9,42,6.428571429,153
bin_(waste),has_a_bag,internal_component,e,ce,visual-form_and_surface,12,42,8.571428571,155.5
bin_(waste),has_a_bag,internal_component,e,ci,visual-form_and_surface,12,42,8.571428571,155.5
bin_(waste),has_a_lining,internal_component,e,ci,visual-form_and_surface,7,42,5,70.5
bin_(waste),is_emptied,action,s,a,function,12,42,8.571428571,155.5
bin_(waste),is_large,external_surface_property,e,se,visual-form_and_surface,7,42,5,70.5
bin_(waste),is_smelly,external_surface_property,e,se,smell,20,42,14.28571429,171
bin_(waste),made_of_metal,made_of,e,m,visual-form_and_surface,22,42,15.71428571,267
bin_(waste),made_of_plastic,made_of,e,m,visual-form_and_surface,27,42,19.28571429,389.5
bin_(waste),smells_bad,external_surface_property,e,se,smell,8,42,5.714285714,146.5
bin_(waste),used_for_holding_garbage,function,s,f,function,42,42,30,430
dining_room,a_place_for_family,function,s,f,function,15,42,10.71428571,28
dining_room,a_place_for_gathering,function,s,f,function,11,42,7.857142857,25
dining_room,a_room,superordinate,c,h,taxonomic,9,42,6.428571429,21
dining_room,associated_with_food,associated_entity,NA,NA,encyclopaedic,11,42,7.857142857,25
dining_room,found_in_houses,location,s,l,encyclopaedic,7,42,5,8.5
dining_room,has_a_table,internal_component,NA,NA,visual-form_and_surface,36,42,25.71428571,34
dining_room,has_chairs,internal_component,s,e,visual-form_and_surface,27,42,19.28571429,31.5
dining_room,has_chairs,internal_component,e,ci,visual-form_and_surface,27,42,19.28571429,31.5
dining_room,has_chairs,internal_component,e,ce,visual-form_and_surface,27,42,19.28571429,31.5
dining_room,is_formal,systemic_property,e,sys,encyclopaedic,8,42,5.714285714,17.5
dining_room,used_for_eating,function,s,f,function,38,42,27.14285714,42
dummy_(pacifier),found_in_mouth,location,s,l,encyclopaedic,12,39,9.230769231,169
dummy_(pacifier),is_nipple_shaped,external_surface_property,NA,NA,visual-form_and_surface,8,39,6.153846154,159
dummy_(pacifier),is_not_real,negation,NA,NA,encyclopaedic,7,39,5.384615385,79.5
dummy_(pacifier),is_small,external_surface_property,e,se,visual-form_and_surface,7,39,5.384615385,79.5
dummy_(pacifier),is_soothing,affect_emotion,i,a,encyclopaedic,17,39,13.07692308,182
dummy_(pacifier),is_sucked,action,s,a,function,21,39,16.15384615,183
dummy_(pacifier),made_of_plastic,made_of,e,m,visual-form_and_surface,23,39,17.69230769,223.5
